1, 2.879448, 2.893106, 2.934120, 2.929341, 2.891548, 2.924377, 2.948431, 2.918888, 2.911682, 2.935470
2, 1.469951, 1.451220, 1.451183, 1.453142, 1.466342, 1.454904, 1.456239, 1.474192, 1.477146, 1.445149
4, 0.741054, 0.734995, 0.741759, 0.742278, 0.738815, 0.742751, 0.747128, 0.733219, 0.745617, 0.743618
8, 0.381825, 0.376845, 0.378252, 0.376499, 0.375788, 0.376049, 0.377694, 0.374539, 0.376498, 0.376054
12, 0.258641, 0.259297, 0.257266, 0.284793, 0.262086, 0.258033, 0.257781, 0.257921, 0.259060, 0.259164
16, 0.288879, 0.284189, 0.285689, 0.285818, 0.303513, 0.281117, 0.285967, 0.300195, 0.292030, 0.285069
20, 0.248860, 0.249998, 0.248443, 0.249379, 0.249358, 0.249406, 0.250475, 0.251953, 0.248368, 0.248045
24, 0.214098, 0.213715, 0.218228, 0.214091, 0.215292, 0.212371, 0.214213, 0.215301, 0.217053, 0.213701
28, 0.191263, 0.191903, 0.191886, 0.192764, 0.191802, 0.192377, 0.193927, 0.191664, 0.191140, 0.191863
32, 0.247476, 0.251736, 0.247587, 0.252065, 0.257699, 0.287163, 0.249579, 0.242325, 0.278501, 0.246802
